0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,CUSTOMER_ID
0.10380213,-0.25928608,-0.15025425,0.27671757,0.14754933,-0.32395613,-0.35373878,0.13973634,-0.0056370385,0.10588035,-0.29679748,0.1724153,-0.22672333,0.08358924,-0.50339943,-0.009199023,87596
-0.011247873,-0.50804406,0.033920005,-0.2489759,-0.16234043,-0.5602494,-0.4545781,1.0075362,0.26766318,0.29636076,-0.7209417,-0.06877595,-0.31356514,0.26674902,-0.2604957,0.39608923,33416
-0.16156232,-0.051430307,0.24361444,-0.2673846,0.028977405,-0.59011596,-0.4085495,0.8010572,-0.044040967,0.5318747,-0.46771374,-0.11513078,-0.18301578,-0.0022968203,-0.27334446,0.640243,77374
-0.30425584,-0.74897546,-0.050919794,-0.019539386,-0.27344477,0.05336204,-0.5803306,0.6434443,-0.07085778,0.34373236,-0.30349973,-0.48884064,-0.43017688,0.17340037,-0.21562359,-0.08862358,71258
0.26441595,0.12671477,0.09655681,-0.0711557,-0.14292377,-0.26516095,-0.10932621,0.21245486,-0.26329964,0.23204885,-0.23757377,-0.15152869,-0.3247124,0.19604407,-0.32037935,0.30655047,43657
0.38655648,-0.21734765,-0.044959445,0.015150197,0.2289737,-0.45710024,-0.09216724,0.13453767,-0.0014826972,0.16777672,-0.2763173,-0.26830447,-0.072880924,-0.60677934,-0.08740419,0.47033393,16738
0.11668974,-0.42941982,-0.1714778,-0.2616667,-0.25148264,-0.6437061,-0.6072935,0.4769414,-0.049152788,0.44597515,-0.5687316,-0.078161895,-0.0844756,-0.5932237,-0.21958172,0.6239261,79565
0.24797247,-0.35604972,-0.0074107014,0.21171686,0.14417906,-0.18537687,-0.09786186,0.26438814,0.28695795,0.11809606,-0.46395087,-0.60153425,0.023678586,-0.4785843,-0.2783234,0.15745758,61094
0.13349459,-0.07284886,-0.042662747,0.065283224,0.26760674,-0.4356328,-0.32470348,0.19632536,0.017618038,0.33018088,0.016912624,-0.17045912,-0.030148394,-0.44153655,-0.27474782,0.24426728,91595
0.782889,-0.008089118,-0.41527343,0.38769126,0.096162364,-0.41896427,-0.52353203,-0.25191358,0.22735152,0.9156183,-0.23772024,-0.53024495,-0.25477073,-0.07187989,-1.5103892,0.8386272,61114
0.09553601,-0.41541225,0.13908976,-0.17319766,0.079444624,-0.4877435,-0.122478455,0.017293997,-0.2741297,0.39155555,-0.24860263,-0.13905695,-0.32773116,-0.60650617,-0.1276773,0.5252036,36629
0.25747913,-0.3622196,-0.36224478,0.25583538,0.18302111,-0.012019798,-0.25075534,0.29182556,0.19223362,0.42827764,-0.39015597,-0.4571521,0.17950162,-0.5222551,-0.4571681,0.23186393,79200
0.12673776,-0.5059298,0.031434923,-0.1649707,-0.19751768,-0.8465669,-0.29760528,0.7689225,0.16394494,0.3113557,-0.54201424,-0.040719584,-0.12740213,-0.41274568,-0.15799403,0.543226,46094
-0.2587483,-0.24079761,-0.09974073,-0.017236754,0.1415553,-0.63521934,-0.4043311,0.41507676,-0.3952067,0.93575084,0.28533715,0.21681972,-0.6929647,-0.15897511,-0.55755675,0.34243983,52221
0.11080712,-0.378336,-0.13926624,0.17721337,-0.09866318,-0.25567746,-0.4407848,0.5185881,0.16778876,0.17480302,-0.42286015,-0.31915313,-0.06927705,0.17986523,-0.3352055,-0.10494873,68756
-0.2525117,-0.57854986,0.3004308,-0.6072061,-0.40960038,-0.53232265,-0.17388853,1.4776292,-0.20206633,0.32854024,-0.52708215,0.027672887,-0.5030169,0.21029063,0.048013534,0.7716474,96553
