iid,cluster
8946,13
9622,16
7793,12
3843,2
4427,5
2906,10
2026,3
8786,6
7152,12
1192,10
1976,14
4520,10
8120,16
2065,10
1687,3
5377,14
6890,0
5481,12
8448,9
1188,17
9649,6
9684,12
8144,18
4222,5
8329,16
2177,3
6941,12
3410,10
2096,13
5240,16
9680,12
5811,5
4896,16
8283,10
8422,17
8432,13
3932,6
2420,12
3977,6
5780,3
1360,5
5074,0
4656,6
1354,10
5521,12
4455,3
3480,12
1461,16
6689,12
9514,0
5291,13
8193,12
6888,10
4344,17
9800,5
6674,10
3429,0
4426,14
6529,10
8179,16
6539,6
8047,16
7440,10
5071,17
9027,13
9000,18
6380,13
5216,12
6471,10
1937,17
2246,16
5343,10
4166,10
2596,13
5259,6
5340,0
8540,16
8998,6
3596,14
2142,18
7472,0
8882,0
8110,17
3337,12
5362,4
6002,12
7392,12
2567,3
7309,14
6919,17
1786,5
2393,0
2769,0
3650,0
2244,13
2432,0
2760,6
1237,17
9311,10
6953,12
2594,13
6464,18
5769,13
8859,0
6853,10
7154,3
9396,16
7237,5
1196,3
6844,18
2847,10
9870,5
4925,16
9357,16
7250,10
4295,16
7817,13
2454,10
5650,3
1126,10
3190,0
9985,10
6022,5
5177,14
4932,5
3169,13
8645,0
8382,16
1102,5
1286,10
4322,16
6343,14
4764,5
4892,14
1681,5
7460,5
4146,7
7679,16
4497,5
1839,12
9240,0
3449,6
9301,17
3331,17
1055,12
9654,5
5131,10
9318,14
2887,16
9326,4
6903,17
3599,18
1047,6
2784,3
5813,12
9563,12
6534,16
2946,13
2221,16
6364,18
4835,16
8379,0
5226,14
6091,6
7434,6
6995,0
8241,0
7462,10
7387,10
1090,14
5801,6
2044,13
4485,17
8116,16
8599,12
1943,6
7459,3
6516,0
5910,13
1511,19
6522,5
5035,17
1077,5
8526,12
2107,6
9182,16
2343,3
8408,18
8721,5
4849,12
2421,16
2316,12
5873,16
7927,5
8431,12
5137,10
3498,0
9414,0
7262,3
3665,12
1529,16
6417,3
9836,0
1659,16
8757,17
5652,10
5239,0
2880,4
2817,6
7681,4
1251,0
7049,16
2028,14
4947,18
5679,18
1390,14
5484,4
9200,0
3285,17
8251,0
2465,10
4723,17
1610,12
8009,17
3613,18
8743,7
3713,13
8444,6
4776,13
7408,0
3887,3
2741,13
9698,13
2210,5
8314,13
8214,16
4321,17
5710,18
6927,6
7553,18
9393,18
3134,12
5280,13
8919,3
7187,10
8547,10
4174,0
9963,13
4060,5
5474,16
1575,10
3540,16
3863,18
7721,13
4891,10
6597,5
1227,10
9300,6
2983,13
8275,10
7174,10
6872,18
5641,14
8924,10
3393,10
1750,12
4315,0
3162,17
1985,16
8988,12
6886,18
2619,5
4503,4
3506,4
4706,6
3566,6
9312,0
8197,6
3247,5
4613,0
2616,12
9630,14
7935,12
8527,5
1772,6
4980,3
3608,12
2937,10
4323,0
1113,10
4363,18
9473,6
8579,13
1733,13
3570,10
9983,3
4110,13
5091,16
8423,12
7139,10
8864,16
4361,12
6184,16
8094,13
2418,14
2351,13
1877,13
1970,10
5648,5
1651,10
9147,3
6483,0
2137,16
7107,12
4209,18
4788,5
4712,12
5308,17
2311,3
4351,13
1614,12
9137,5
3620,10
6322,16
1016,12
9568,10
9260,17
2778,0
6408,16
6435,6
2586,18
7041,5
1968,5
2854,10
8686,17
2132,17
6375,16
9255,18
5135,13
7863,3
4278,16
9721,17
6620,18
7396,6
3635,5
2996,16
3308,13
5816,10
4844,10
4428,13
4244,16
7905,10
3045,12
6723,6
6491,16
4254,12
8874,18
2961,10
6924,0
6631,17
7714,16
5256,6
6707,6
4495,18
7087,16
9948,3
5748,5
8235,3
8328,18
6142,13
5531,16
7953,12
7751,16
9294,10
3538,18
7950,12
8658,17
3336,10
2233,18
2955,12
1688,5
5522,14
9366,14
5482,14
3165,3
5480,16
