0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,ITEM_ID
0.0063086897,0.12912019,-0.12268461,-0.039239496,0.20503879,0.47284067,0.18143228,0.83210266,-0.40956515,-0.32264364,0.054996908,-0.38848394,0.3315079,-0.6203016,-0.15115462,0.00741069,3700
-0.084313974,-0.33966345,-0.0194081,0.039682448,0.012547597,0.2739961,0.09188601,0.93056023,0.084221855,-1.2999382,0.41995525,-0.402164,0.8817601,-0.22437131,0.12187782,-0.061273545,7571
-0.40047956,-0.29882348,-0.028470892,-0.1784838,0.07413107,0.09543113,-0.12832516,0.7698872,-0.5447153,0.038643032,0.24515831,-0.20729026,0.63548416,-0.16421887,-0.2288497,-0.1583586,5921
0.09777963,0.19693407,-0.045196153,-0.2670436,0.07038709,0.15835862,0.30747795,0.33842438,-0.19013281,-0.41771606,0.09982484,-0.23631445,0.43333507,-0.19714847,-0.20584498,-0.041531682,7236
-0.077312276,0.29712018,0.14838569,-0.37712616,0.13876906,-0.25582305,0.38341042,0.27813014,-0.37312752,-0.5169258,0.07267156,0.5629351,0.31800243,0.104356095,0.29063237,-0.050590068,7981
0.30013162,0.068035506,0.030680519,-0.2238163,-0.24986525,-0.15997522,0.17223822,0.5387068,-0.013203725,-0.610498,0.120641,-0.31918475,0.17062607,-0.44206882,-0.12547456,-0.28036547,9878
0.40935767,0.17399424,0.53461623,-0.6197406,-0.44630155,-0.2814748,-0.028031936,0.06978668,-0.45358092,-0.5264504,-0.34579888,-0.3842802,-0.15262324,-0.43741217,0.089068085,-0.5361512,4491
-0.00570105,0.14607681,-0.102262445,-0.09369999,0.06684408,0.29835716,0.34976134,0.6549035,-0.33380213,-0.4616616,0.24630508,-0.20317608,0.3561238,-0.39398727,-0.18869293,0.07501744,9404
0.17628084,0.19380489,0.033884276,-0.29976028,0.12908515,0.15278158,0.17663005,0.43913847,-0.45633614,-0.3667046,0.02528521,-0.17305927,0.2978174,-0.16726369,-0.08441141,-0.27195823,5278
0.16108187,0.4121989,-0.06714259,-0.4427181,-0.069478795,0.003439881,0.15233606,0.07888791,-0.1676485,-0.23927718,-0.20120752,-0.11612846,0.023010314,-0.036517404,-0.18239672,-0.15196481,8215
0.17260067,0.1932058,-0.003039632,-0.32995853,-0.007527992,-0.013656303,0.25817338,0.5028575,-0.28485635,-0.23954304,0.10965308,-0.25628784,0.37360212,-0.28933272,-0.44331276,0.07526745,7504
0.073494315,0.2924754,-0.12994783,0.11522925,0.2230953,0.3812639,0.53153276,0.9604082,-0.18048848,-0.6538371,0.28874803,-0.16885766,0.30890322,-0.706346,0.14613938,0.030225381,2478
0.07231375,0.14227991,-0.10957762,-0.40030527,0.24904944,0.12042984,0.05837613,0.33072475,-0.6535537,-0.047662303,0.066571556,-0.15314528,0.3968922,-0.210912,-0.28485343,0.015646622,4188
-0.027979001,0.10614244,-0.102842115,-0.18314666,0.36177883,0.14366284,0.3574877,0.24981183,-0.25823146,-0.2972878,0.10834418,0.0996253,0.5185269,-0.11257069,-0.20915268,0.08150706,9912
0.1814282,0.061295,0.15190245,0.15292528,-0.1270653,0.09728624,0.32477635,1.0897325,-0.19727567,-0.9063523,0.28430915,0.0012972206,0.23893803,-0.70537466,-0.15583186,0.01613456,5951
0.06537969,0.4578462,-0.12350795,-0.40311143,0.16815892,-0.06428906,0.2878347,0.16007039,-0.28045207,-0.3001339,-0.114723325,0.18817572,0.12055153,0.04604231,-0.14012426,-0.26931173,3903
0.032658935,0.23192587,0.0547693,-0.31542137,0.21561608,-0.17752722,0.15997213,0.13931495,-0.2811128,-0.38037252,0.030145854,0.15020572,0.31528312,-0.033804387,-0.011154383,0.0432287,2866
0.1162428,0.18696606,0.05182973,-0.56784606,-0.021460474,0.08809574,0.15016139,0.23777005,-0.3616447,-0.2302229,-0.2136739,-0.11135407,0.27754202,-0.117763676,0.017068982,-0.006373182,6745
0.020712331,0.06861964,0.31444797,-0.17845994,0.0046828836,-0.07295991,0.33932188,0.49212104,-0.157146,-0.6598139,0.22787067,-0.026891887,0.56337756,-0.114518255,-0.18797275,-0.00041502714,4498
-0.052402318,-0.030424088,0.029973848,0.07843235,0.26641634,0.019845601,0.28237525,0.5453769,-0.093541145,-0.62983406,0.24560031,-0.10837451,0.4687071,-0.26433247,-0.18036917,-0.12672111,9437
-0.1154436,0.08129808,0.35679635,-0.18766874,0.08524792,0.08396366,0.17549293,0.7505193,-0.21365306,-0.53656834,0.20315751,0.15609479,0.35760397,-0.0736152,-0.0014403462,-0.04534006,1023
0.020467594,0.073019974,0.2606551,-0.17415701,0.066873044,-0.2597366,0.10285489,0.4817027,-0.23269196,-0.60922885,0.18193024,0.24282928,0.40534255,-0.19545567,-0.018740848,0.032208145,7599
0.080929324,0.14418826,0.0018687174,-0.6494969,0.10806002,-0.16770199,-0.04502931,0.19239224,-0.6741427,-0.09673076,-0.25419924,0.2675038,0.23059388,0.08032089,-0.19186059,-0.08853923,9049
0.10631156,0.122488305,-0.37113458,-0.15582645,0.13503549,0.010948207,0.14381915,0.50771564,0.107701376,-0.2933954,0.18959254,-0.45420957,0.24299407,-0.47213432,-0.10579796,-0.1859646,2002
